Species,Families,Quantity
S_cerevisiae_S288C,GATA,10
S_cerevisiae_S288C,Homeodomain,9
S_cerevisiae_S288C,Forkhead,4
S_cerevisiae_S288C,APSES,4
S_cerevisiae_S288C,HSF,5
S_cerevisiae_S288C,AT_hook,1
S_cerevisiae_S288C,Copper_fist,3
S_cerevisiae_S288C,Ndt80/PhoG,1
S_cerevisiae_S288C,ARID/BRIGHT,2
S_cerevisiae_S288C,RFX,2
S_cerevisiae_S288C,MADS_box,4
S_cerevisiae_S288C,NFX,1
S_cerevisiae_S288C,Pipsqueak,0
S_cerevisiae_S288C,BED_ZF,2
S_cerevisiae_S288C,HAP2,1
S_cerevisiae_S288C,STE,1
S_cerevisiae_S288C,TBP,1
S_cerevisiae_S288C,TEA,1
S_cerevisiae_S288C,Grainyhead,0
S_cerevisiae_S288C,CENPB,0
S_cerevisiae_S288C,FAR1,0
S_cerevisiae_S288C,MATalpha_HMGbox,2
S_cerevisiae_S288C,Ets,0
S_cerevisiae_S288C,CSD,0
S_cerevisiae_S288C,GCR1,5
S_cerevisiae_S288C,AFT,2
S_cerevisiae_S288C,VHR1,2
S_cerevisiae_S288C,ABF1,1
S_cerevisiae_S288C,Rap1,1
