#tf_id	tg_id	regulatory_function
YAL051W	YNL076W	NaN
YAL051W	YGL106W	NaN
YAL051W	YJR039W	NaN
YAL051W	YLR049C	NaN
YAL051W	YNL117W	NaN
YAL051W	YLL006W	NaN
YAL051W	YLL061W	NaN
YAL051W	YKL201C	NaN
YAL051W	YBL049W	NaN
YAL051W	YMR224C	NaN
YAL051W	YPL118W	NaN
YAL051W	YKL142W	NaN
YAL051W	YNL284C	NaN
YAL051W	YNL252C	NaN
YAL051W	YKL138C	NaN
YAL051W	YDR322W	NaN
YAL051W	YLR439W	NaN
YAL051W	YPR100W	NaN
YAL051W	YGR220C	NaN
YAL051W	YPL013C	NaN
YAL051W	YGR165W	NaN
YAL051W	YBL095W	NaN
YAL051W	YML128C	NaN
YAL051W	YOR354C	NaN
YAL051W	YMR023C	NaN
YAL051W	YKR080W	NaN
YAL051W	YKL186C	NaN
YAL051W	YOR298W	NaN
YAL051W	YKR048C	NaN
YAL051W	YLR194C	NaN
YAL051W	YJL076W	NaN
YAL051W	YLR351C	NaN
YAL051W	YLR195C	NaN
YAL051W	YLR285W	NaN
YAL051W	YLR002C	NaN
YAL051W	YOL041C	NaN
YAL051W	YLR197W	NaN
YAL051W	YOR209C	NaN
YAL051W	YAL051W	NaN
YAL051W	YKR064W	NaN
YAL051W	YNL099C	NaN
YAL051W	YOL032W	NaN
YAL051W	YBR129C	NaN
YAL051W	YLR054C	NaN
YAL051W	YDR071C	NaN
YAL051W	YMR174C	NaN
YAL051W	YHR063C	NaN
YAL051W	YBR295W	NaN
YAL051W	YKR097W	NaN
YAL051W	YNL289W	NaN
YAL051W	YDL179W	NaN
YAL051W	YEL058W	NaN
YAL051W	YBR222C	NaN
YAL051W	YNL264C	NaN
YAL051W	YOR153W	NaN
YAL051W	YBR035C	NaN
YAL051W	YOR017W	NaN
YAL051W	YOL147C	NaN
YAL051W	YHR160C	NaN
YAL051W	YPL112C	NaN
YAL051W	YDR244W	NaN
YAL051W	YMR018W	NaN
YAL051W	YJL179W	NaN
YAL051W	YBR074W	NaN
YAL051W	YGR132C	NaN
YAL051W	YDR281C	NaN
YAL051W	YOL084W	NaN
YAL051W	YAR071W	NaN
YAL051W	YHR215W	NaN
YAL051W	YBR093C	NaN
